feature,gain
num__weeks_worked_in_year,942068207.0
num__age,182008419.0
num__dividends_from_stocks,169930050.0
cat__tax_filer_stat_Nonfiler,156038830.0
cat__sex_Female,95824413.0
cat__education_High school graduate,58429771.0
num__capital_gains,57884939.0
cat__major_occupation_code_Other service,54224511.0
cat__major_occupation_code_Adm support including clerical,34715879.0
cat__detailed_household_summary_in_household_Householder,31226181.0
cat__major_occupation_code_Professional specialty,16585399.0
cat__detailed_occupation_recode_2,15264413.0
num__num_persons_worked_for_employer,14055077.0
cat__detailed_household_summary_in_household_Child 18 or older,12425300.0
cat__education_Masters degree(MA MS MEng MEd MSW MBA),11888012.0
cat__education_Bachelors degree(BA AB BS),11681751.0
cat__marital_stat_Married-civilian spouse present,9480303.0
cat__major_occupation_code_Machine operators assmblrs & inspctrs,8477736.0
num__capital_losses,8094230.0
cat__major_occupation_code_Handlers equip cleaners etc,7943690.0
cat__education_Some college but no degree,7800028.0
cat__detailed_occupation_recode_19,7085818.0
cat__major_occupation_code_Sales,4813600.0
cat__major_occupation_code_Precision production craft & repair,4479666.0
cat__education_Doctorate degree(PhD EdD),3817579.0
cat__education_10th grade,3625560.0
cat__major_occupation_code_Transportation and material moving,3486270.0
cat__education_Prof school degree (MD DDS DVM LLB JD),3443835.0
cat__own_business_or_self_employed_1,3420610.0
cat__country_of_birth_father_Mexico,3359153.0
cat__education_11th grade,3230742.0
cat__class_of_worker_Self-employed-incorporated,3156386.0
cat__class_of_worker_Private,3019949.0
cat__major_occupation_code_Executive admin and managerial,2607849.0
cat__major_occupation_code_Farming forestry and fishing,2283677.0
cat__detailed_occupation_recode_10,2090186.0
num__wage_per_hour,1966238.0
cat__detailed_occupation_recode_44,1565450.0
cat__detailed_industry_recode_33,1508843.0
cat__major_industry_code_Finance insurance and real estate,1491656.0
